,symbol,date,enterpriseValue
9123,HRN.AX,2019-06-30,12382331.174999999
9124,HRN.L,2019-09-30,4897000.0
9125,HROW,2019-12-31,210491679.04
9126,HRPK.DE,2019-12-31,156631000.0
9127,HRR.AX,2019-06-30,110288671.22935
9128,HRS,2019-03-29,3187000000.0
9129,HRT.TO,2019-12-31,205506778.39999998
9130,HRTG,2019-12-31,243440360.25
9131,HRTH,2019-12-31,13092720.0
9132,HRTX,2019-12-31,2027858000.0
9133,HRX.TO,2019-12-31,929556211.0
9134,HRZ.AX,2019-06-30,17936573.378
9135,HRZN,2019-12-31,327969090.6
9136,HS2.DE,2019-12-31,7938231305.403999
9137,HSACU,2019-12-31,676473720.0
9138,HSB.PA,2019-12-31,-55883720000.0
9139,HSBA.L,2019-12-31,11737637083936.0
9140,HSBC,2019-12-31,-154099000000.0
9141,HSC,2019-12-31,2534104420.0
9142,HSC.AX,2019-12-31,-2666449.0
9143,HSCL.NS,2019-09-30,34443699988.0
9144,HSD.L,2019-12-31,-40800000.0
9145,HSDT,2019-12-31,937932695.887678
9146,HSE.TO,2019-12-31,13268142000.0
9147,HSGX,2019-06-30,15187924.190000001
9148,HSIC,2019-12-28,10345889440.0
9149,HSII,2019-12-31,350266000.0
9150,HSIL.NS,2019-03-31,10854000000.0
9151,HSKA,2019-12-31,678332160.0
9152,HSL.L,2019-11-30,-1679000.0
9153,HSM.L,2019-09-30,-3100000.0
9154,HSM.TO,2019-12-31,1190800510.112322
9155,HSN.AX,2019-06-30,928227171.4
9156,HSON,2019-12-31,5520400.0
9157,HSP.L,2019-11-30,-15493000.0
9158,HSS.L,2019-12-31,151843000.0
9159,HST,2019-12-31,16497364283.699999
9160,HSTC,2019-12-31,438321.2
9161,HSTG.L,2019-12-31,622600000.0
9162,HSTI,2019-12-31,25864759.5
9163,HSTM,2019-12-31,749170800.0
9164,HSTO,2019-12-31,-19038120.0
9165,HSV.L,2019-09-30,356800000.0
9166,HSW.IR,2019-12-31,-19365000.0
9167,HSW.L,2019-12-31,-19365000.0
9168,HSX.L,2019-12-31,-329100000.0
9169,HSY,2019-12-31,34511884463.46
9170,HT,2019-12-31,1661607589.45
9171,HT1.AX,2019-12-31,-110972000.0
9172,HT8.AX,2019-06-30,4606122.716
9173,HTA,2019-12-31,9096982807.395
