,date,symbol,enterpriseValue
1,2020-07-31,LOW,122145323007.99998
2,2020-05-01,LOW,94216759244.0
3,2020-01-31,LOW,107281118474.0
4,2019-11-01,LOW,103449497690.0
5,2019-08-02,LOW,92240632343.0
0,2020-11-28,RAD,670544600.0
1,2020-08-29,RAD,4169550720.0
2,2020-05-30,RAD,3762268060.0
3,2020-02-29,RAD,3595699080.0
4,2019-11-30,RAD,3769237600.0
5,2019-08-31,RAD,4057756160.0
0,2020-09-30,VEON,1150999999.46
1,2020-03-31,VEON,-1486000000.0
2,2019-12-31,VEON,-1250000000.0
3,2019-09-30,VEON,-1317000000.0
4,2019-06-30,VEON,-1331000000.0
5,2019-03-31,VEON,-1265000000.0
0,2019-06-30,APC,51592890000.0
1,2019-03-31,APC,38336619000.0
2,2018-12-31,APC,36970853600.0
3,2018-09-30,APC,49069916600.0
4,2018-06-30,APC,50622146400.0
5,2018-03-31,APC,42443747600.0
0,2019-03-31,ESV,4720100000.0
1,2018-12-31,ESV,4735300000.0
2,2018-09-30,ESV,4806600000.0
3,2018-06-30,ESV,4509400000.0
4,2018-03-31,ESV,4521900000.0
5,2017-12-31,ESV,4305300000.0
0,2020-12-31,SLB,46429360000.0
1,2020-09-30,SLB,38187960000.0
2,2020-06-30,SLB,41429318612.0
3,2020-03-31,SLB,33977630000.0
4,2019-12-31,SLB,69793801384.0
5,2019-09-30,SLB,62815447230.0
0,2020-12-31,FLEX,10191000000.0
1,2020-09-25,FLEX,6655530000.0
2,2020-06-26,FLEX,7008727760.0
3,2020-03-31,FLEX,5117670480.0
4,2019-12-31,FLEX,7398374560.0
5,2019-09-27,FLEX,6464107960.0
0,2020-06-30,FOXA,19634380000.0
1,2020-03-31,FOXA,18019559388.0
2,2019-12-31,FOXA,27634190000.0
3,2019-09-30,FOXA,23026770000.0
4,2019-06-30,FOXA,25931078752.0
5,2019-03-31,FOXA,26815848758.0
0,2020-12-31,ABBV,189223534380.39786
1,2020-09-30,ABBV,233791149580.52148
2,2020-06-30,ABBV,254632317605.22
3,2020-03-31,ABBV,138411845374.93933
4,2019-12-31,ABBV,157746822324.39148
5,2019-09-30,ABBV,139727382545.1021
0,2020-11-29,GIS,38125236000.0
1,2020-08-30,GIS,48835110619.8
2,2020-05-31,GIS,50399286610.9
3,2020-02-23,GIS,45076916612.8
4,2019-11-24,GIS,44018456612.3
5,2019-08-25,GIS,45419870000.0
0,2020-12-31,VZ,347712000000.0
1,2020-09-30,VZ,352865608280.0
2,2020-06-30,VZ,333142074139.0
3,2020-03-31,VZ,333077470000.0
4,2019-12-31,VZ,361913608278.0
5,2019-09-30,VZ,355354684138.0
0,2020-12-31,XRX,3060009321.1689997
1,2020-09-30,XRX,5775642130.0
2,2020-06-30,XRX,4961990210.0
3,2020-03-31,XRX,5695485212.75
4,2019-12-31,XRX,9487447914.501
5,2019-09-30,XRX,10498245790.0
0,2020-12-31,CVLT,2198021873.484
1,2020-09-30,CVLT,1514699753.484
2,2020-06-30,CVLT,1442159700.0000002
3,2020-03-31,CVLT,1590999599.9999998
4,2019-12-31,CVLT,1782664920.0
5,2019-09-30,CVLT,1646709670.0
0,2020-12-31,X,6598309240.0
1,2020-09-30,X,4811750680.0
2,2020-06-30,X,4564860940.0
3,2020-03-31,X,4439113440.0
4,2019-12-31,X,4832167810.0
5,2019-09-30,X,4008751550.0
0,2020-12-31,MAT,8159072347.6
1,2020-09-30,MAT,6867504000.0
2,2020-06-30,MAT,6143807000.0
3,2020-03-31,MAT,5555706000.0
4,2019-12-31,MAT,6914508000.0
5,2019-09-30,MAT,6817388000.0
0,2020-09-30,CTL,41481295450.0
1,2020-06-30,CTL,40478134250.0
2,2020-03-31,CTL,42090842140.0
3,2019-12-31,CTL,44878330000.0
4,2019-09-30,CTL,45362336640.0
5,2019-06-30,CTL,45317689700.0
0,2020-10-31,MIK,2843836220.0
1,2020-08-01,MIK,3040110280.0
2,2020-05-02,MIK,2473448300.0
3,2020-02-01,MIK,2958131260.0
4,2019-11-02,MIK,3842907250.0
5,2019-08-03,MIK,3587575480.0
0,2020-12-31,DVN,2223000000.0
1,2020-09-30,DVN,6156420000.0
2,2020-06-30,DVN,7097180000.0
3,2020-03-31,DVN,5414530000.0
4,2019-12-31,DVN,12776509617.0
5,2019-09-30,DVN,12471819603.0
0,2020-12-31,IBN,148012377178.69995
1,2020-09-30,IBN,452183225960.52
2,2020-06-30,IBN,1147170832672.76
3,2019-09-30,IBN,1285757860000.0
4,2019-06-30,IBN,1391312541920.81
5,2019-03-31,IBN,1229331000000.0
0,2020-12-31,MPC,58053000650.0
1,2020-09-30,MPC,50330000000.0
2,2020-06-30,MPC,55372000650.0
3,2020-03-31,MPC,45224760648.0
4,2019-12-31,MPC,66353000000.0
5,2019-09-30,MPC,67166000000.0
0,2015-02-28,EZU,8789375774.400002
1,2014-08-31,EZU,7768113999.999999
2,2014-02-28,EZU,10128610517.800001
3,2013-08-31,EZU,4605504000.0
4,2013-02-28,EZU,2371391928.4
5,2012-08-31,EZU,791154000.0
0,2020-12-31,PM,128198821558.0
1,2020-09-30,PM,141503416884.0
2,2020-06-30,PM,134581476883.99998
3,2020-03-31,PM,138222718443.0
4,2019-12-31,PM,156584033776.0
5,2019-09-30,PM,143456080000.0
0,2020-12-31,MSCI,2086037000.0
1,2020-09-30,MSCI,31890446476.398
2,2020-06-30,MSCI,29909196705.662
3,2020-03-31,MSCI,26627239436.170002
4,2019-12-31,MSCI,23459538766.386
5,2019-09-30,MSCI,20154587750.0
0,2020-09-30,RDN,4286098360.0
1,2020-06-30,RDN,4508659490.0
2,2020-03-31,RDN,3599320950.0
3,2019-12-31,RDN,5965306760.0
4,2019-09-30,RDN,5580705880.0
5,2019-06-30,RDN,5920007290.0
0,2020-12-31,KO,231301120000.0
1,2020-09-25,KO,244779964293.0
2,2020-06-26,KO,225163120000.0
3,2020-03-27,KO,216343254325.0
4,2019-12-31,KO,273291691436.0
5,2019-09-27,KO,269126514321.0
0,2018-12-31,AABA,57657452999.99999
1,2018-09-30,AABA,63715843000.0
2,2018-06-30,AABA,78137019000.0
3,2018-03-31,AABA,4396040000.0
4,2017-09-30,AABA,23087000.0
5,2017-03-31,AABA,44349615190.0
0,2020-12-31,SRC,2936038000.0
1,2020-09-30,SRC,5640739136.25
2,2020-06-30,SRC,5918706892.298967
3,2020-03-31,SRC,5494206344.049999
4,2019-12-31,SRC,7282703629.46
5,2019-09-30,SRC,6028399384.620353
0,2018-09-30,NFX,7972000000.0
1,2018-06-30,NFX,8192000000.0
2,2018-03-31,NFX,6954000000.0
3,2017-12-31,NFX,8688000000.0
4,2017-09-30,NFX,7909330000.0
5,2017-06-30,NFX,7573540000.0
0,2020-09-30,COP,48278060680.0
1,2020-06-30,COP,57332211180.0
2,2020-03-31,COP,44469477715.438995
3,2019-12-31,COP,81054257084.394
4,2019-09-30,COP,70892463900.0
5,2019-06-30,COP,79075188750.0
0,2020-09-30,CHK,1623000000.0
1,2020-06-30,CHK,1847000000.0
2,2020-03-31,CHK,9501000000.0
3,2019-12-31,CHK,9452000000.0
4,2019-09-30,CHK,9327000000.0
5,2019-06-30,CHK,9697000000.0
0,2021-01-02,DIS,304355107337.0
1,2020-10-03,DIS,256695955427.0
2,2020-06-27,DIS,228714896382.0
3,2020-03-28,DIS,203775403632.0
4,2019-12-28,DIS,296303750000.0
5,2019-09-28,DIS,268718372711.99997
0,2020-11-30,LEN,28010740169.150997
1,2020-08-31,LEN,29040537979.999996
2,2020-05-31,LEN,25841012911.627003
3,2020-02-29,LEN,26846938420.0
4,2019-11-30,LEN,26852074227.808
5,2019-08-31,LEN,25460156000.0
0,2020-12-31,CVX,195249856289.401
1,2020-09-30,CVX,161398376000.0
2,2020-06-30,CVX,192569124549.939
3,2020-03-31,CVX,158799299717.727
4,2019-12-31,CVX,246919925414.634
5,2019-09-30,CVX,244193986438.786
0,2020-12-31,PYPL,278627396484.0
1,2020-09-30,PYPL,233744158828.0
2,2020-06-30,PYPL,206952790000.0
3,2020-03-31,PYPL,112416020000.0
4,2019-12-31,PYPL,124607580000.0
5,2019-09-30,PYPL,119805250000.0
0,2019-06-30,CTRP,18946931173.4641
1,2019-03-31,CTRP,1487281510.0774002
2,2018-12-31,CTRP,16988285104.262001
3,2018-09-30,CTRP,21644442318.1509
4,2018-06-30,CTRP,28911690000.0
5,2018-03-31,CTRP,26192730000.0
0,2020-09-30,AUY,5929180720.0
1,2020-06-30,AUY,4870155220.0
2,2020-04-30,AUY,5083425760.0
3,2020-03-31,AUY,3284509500.0
4,2019-12-31,AUY,4587110350.0
5,2019-10-24,AUY,-7000000.0
0,2020-10-31,WMT,424200750000.0
1,2020-07-31,WMT,396423783008.0
2,2020-04-30,WMT,382215058493.0
3,2020-01-31,WMT,364307184338.0
4,2019-10-31,WMT,378695185686.0
5,2019-07-31,WMT,358112131441.0
0,2020-12-31,CLF,11093249440.0
1,2020-09-30,CLF,6991941580.0
2,2020-06-30,CLF,6580865760.0
3,2020-03-31,CLF,5345384250.0
4,2019-12-31,CLF,4037776400.0
5,2019-09-30,CLF,3658911200.0
0,2020-12-31,MRK,230663386386.8804
1,2020-09-30,MRK,231228595360.1196
2,2020-06-30,MRK,215351599518.24683
3,2020-03-31,MRK,214770590504.34668
4,2019-12-31,MRK,247593499947.65192
5,2019-09-30,MRK,232952804873.40002
0,2020-12-31,MDLZ,99877631429.0
1,2020-09-30,MDLZ,99424401432.0
2,2020-06-30,MDLZ,88514031431.0
3,2020-03-31,MDLZ,84915722868.0
4,2019-12-31,MDLZ,93867282882.0
5,2019-09-30,MDLZ,94667400000.0
0,2018-03-31,RSPP,8443347100.0
1,2017-12-31,RSPP,8008747590.0
2,2017-09-30,RSPP,6857951760.000001
3,2017-06-30,RSPP,6218933120.000001
4,2017-03-31,RSPP,7129115220.0
5,2016-12-31,RSPP,6189045820.0
0,2020-12-31,MGM,22964599670.0
1,2020-09-30,MGM,28969582750.0
2,2020-06-30,MGM,14794116306.543999
3,2020-03-31,MGM,11572828000.0
4,2019-12-31,MGM,25858269070.0
5,2019-09-30,MGM,28096513241.017
0,2019-12-31,GFI,-470000000.0
1,2018-12-31,GFI,-391000000.0
2,2018-09-30,GFI,3457840000.0
3,2018-06-30,GFI,3731650000.0
4,2018-03-31,GFI,4049400000.0
5,2017-12-31,GFI,-479000000.0
0,2020-09-30,KGC,12085642000.0
1,2020-06-30,KGC,11292470000.0
2,2020-05-06,KGC,1350007987.98
3,2020-03-31,KGC,7112194000.0
4,2019-12-31,KGC,7563368240.0
5,2019-11-06,KGC,1478005341.77
0,2020-06-30,SCHW,18409122575.999992
1,2020-03-31,SCHW,-16667061287.0
2,2019-12-31,SCHW,39152041284.0
3,2019-09-30,SCHW,41554002600.0
4,2019-06-30,SCHW,37354277344.00001
5,2019-03-31,SCHW,33096291333.0
0,2020-12-31,NBR,2916096720.0
1,2020-09-30,NBR,2967432167.064
2,2020-06-30,NBR,3052832040.0
3,2020-03-31,NBR,3044986500.0
4,2019-12-31,NBR,3911378800.0
5,2019-09-30,NBR,3779001620.0
0,2019-09-30,SRCI,1323842989.42
1,2019-06-30,SRCI,1459473630.64
2,2019-03-31,SRCI,1502624538.8200002
3,2018-12-31,SRCI,1381272797.1000001
4,2018-09-30,SRCI,2326609166.7599998
5,2018-06-30,SRCI,2708240425.22
0,2019-09-30,JAG,2279842740.0
1,2019-06-30,JAG,2477012760.0
2,2019-03-31,JAG,2849181900.0
3,2018-12-31,JAG,2397737360.0
4,2018-09-30,JAG,3363641370.0
