,symbol,date,returnOnCapitalEmployed
1,SWN,2018-12-31,0.10866491617854979
2,SWN,2018-03-01,0.1413736834297582
3,SWN,2017-12-31,0.1413736834297582
4,SWN,2016-12-31,-0.4444444444444444
5,SWN,2016-02-26,
0,LOW,2020-01-31,0.23150397299188932
1,LOW,2019-02-01,0.1696067163060317
2,LOW,2018-02-02,0.23664582884242294
3,LOW,2017-02-03,0.23183560666844968
4,LOW,2016-01-29,0.21271782035236353
5,LOW,2015-01-30,0.191123228891968
0,RAD,2020-02-29,-0.012206573050832602
1,RAD,2019-03-02,-0.1145008616550303
2,RAD,2018-03-03,-0.00788107423684162
3,RAD,2017-03-04,0.005649179414715298
4,RAD,2016-02-27,0.018308924453343946
5,RAD,2015-02-28,0.06691802079942906
0,VEON,2019-12-31,-0.04839179865902245
1,VEON,2018-12-31,-0.03806870937790158
2,VEON,2017-12-31,-0.03164811586428859
3,VEON,2016-12-31,0.0433861710849959
4,VEON,2015-12-31,0.0077697333568779794
5,VEON,2014-12-31,0.023689995734488302
0,APC,2018-12-31,0.041575676129682514
1,APC,2017-12-31,-0.04421162912519644
2,APC,2016-12-31,-0.09065725921015248
3,APC,2015-12-31,-0.22941775388913882
4,APC,2014-12-31,0.0010494606938101253
0,ESV,2018-12-31,-0.01981445254609046
1,ESV,2017-12-31,0.002141713659373783
2,ESV,2016-12-31,0.09079074858913766
3,ESV,2015-12-31,-0.10848461238800156
4,ESV,2014-12-31,-0.2410316828104186
0,SLB,2020-12-31,-0.3536925147919732
1,SLB,2019-12-31,-0.24107927986300737
2,SLB,2018-12-31,0.046018133670051385
3,SLB,2017-12-31,-0.020862357816771007
4,SLB,2016-12-31,-0.03028761308170501
5,SLB,2015-12-31,0.05346670625788731
0,FLEX,2020-03-31,0.024463103678425916
1,FLEX,2019-03-31,0.030859116474246905
2,FLEX,2018-03-31,0.08078627238382882
3,FLEX,2017-03-31,0.06090722277990046
4,FLEX,2016-03-31,0.07821994172835836
5,FLEX,2015-03-31,0.13660627844415235
0,FOXA,2020-06-30,0.07377544849828664
1,FOXA,2019-06-30,0.12496488172163848
0,ABBV,2020-12-31,0.02787439296495603
1,ABBV,2019-12-31,0.11459268325853393
2,ABBV,2018-12-31,0.1234060741338779
3,ABBV,2017-12-31,0.14270939144888725
4,ABBV,2016-12-31,0.1399907667175681
5,ABBV,2015-12-31,0.1576288072872189
0,GIS,2020-05-31,0.11152381279165523
1,GIS,2019-05-26,0.09042698737409931
2,GIS,2018-05-27,0.09172712083531984
3,GIS,2017-05-28,0.13780655025543326
4,GIS,2016-05-29,0.1439488309697202
5,GIS,2015-05-31,0.10318957035093473
0,VZ,2020-12-31,0.0865794141340433
1,VZ,2019-12-31,0.09208900627483706
2,VZ,2018-12-31,0.08648341332487142
3,VZ,2017-12-31,0.09189401443959555
4,VZ,2016-12-31,0.09813879536101758
5,VZ,2015-12-31,0.13474053858045307
0,XRX,2020-12-31,0.020549620810568377
1,XRX,2019-12-31,0.07078883913193249
2,XRX,2018-12-31,0.04723393271960767
3,XRX,2017-12-31,0.03975766755017039
4,XRX,2016-12-31,0.042397551690677014
5,XRX,2015-12-31,0.045546409030413564
0,CVLT,2020-03-31,-0.02428938167202946
1,CVLT,2019-03-31,0.021017643371288856
2,CVLT,2018-03-31,-0.007078300156329315
3,CVLT,2017-03-31,-0.0010108780529290338
4,CVLT,2016-03-31,0.0041035655425047095
5,CVLT,2015-03-31,0.08537616044360831
0,X,2020-12-31,-0.1389981920663618
1,X,2019-12-31,-0.05031726594678838
2,X,2018-12-31,0.10430314707771356
3,X,2017-12-31,0.042150959249404846
4,X,2016-12-31,-0.060916678869527015
5,X,2015-12-31,-0.20718545867651236
0,MAT,2020-12-31,0.04412357077184922
1,MAT,2019-12-31,-0.03909968557319717
2,MAT,2018-12-31,-0.1050553803356021
3,MAT,2017-12-31,-0.10943008212884911
4,MAT,2016-12-31,0.0821419099113692
5,MAT,2015-12-31,0.09453921722265844
0,CTL,2019-12-31,-0.08291002713798622
1,CTL,2018-12-31,-0.024148319814600232
2,CTL,2017-12-31,0.007632077338383695
3,CTL,2016-12-31,0.02447921666506672
4,CTL,2015-12-31,0.030604651162790698
5,CTL,2014-12-31,0.024010902247506977
0,MIK,2020-02-01,0.1356577453629801
1,MIK,2019-02-02,0.348770638150902
2,MIK,2018-02-03,0.4512810388371937
3,MIK,2017-01-28,0.5178607034259793
4,MIK,2016-01-30,0.5115398680468193
5,MIK,2015-01-31,0.3147982062780269
0,DVN,2020-12-31,-0.36473087818696887
1,DVN,2019-12-31,-0.009245122985581
2,DVN,2018-12-31,0.0530565167243368
3,DVN,2017-12-31,0.033276387135111045
4,DVN,2016-12-31,-0.16641627677383355
5,DVN,2015-12-31,-0.8106109692419102
0,IBN,2020-03-31,0.02123277191515104
1,IBN,2019-03-31,0.006249179121455607
2,IBN,2018-03-31,0.010398024882936504
3,IBN,2017-03-31,0.014435972797108896
4,IBN,2016-03-31,0.016665493838926168
5,IBN,2015-03-31,0.024243294327790915
0,MPC,2020-12-31,-0.1958702064896755
1,MPC,2019-12-31,0.052530670193789514
2,MPC,2018-12-31,0.05729767698560032
3,MPC,2017-12-31,0.0867017552957038
4,MPC,2016-12-31,0.0488904392626184
5,MPC,2015-12-31,0.11895567038346479
0,EZU,2014-08-31,
1,EZU,2013-08-31,
2,EZU,2012-08-31,
3,EZU,2011-08-31,
4,EZU,2010-08-31,
5,EZU,2009-08-31,
0,PM,2020-12-31,0.43464285714285716
1,PM,2019-12-31,0.4106147575076949
2,PM,2018-12-31,0.4719593100398054
3,PM,2017-12-31,0.3920980522846775
4,PM,2016-12-31,0.4868524332810047
5,PM,2015-12-31,0.5177705977382876
0,MSCI,2020-12-31,0.2160060915150031
1,MSCI,2019-12-31,0.18262147991934988
2,MSCI,2018-12-31,0.24424570676990273
3,MSCI,2017-12-31,0.1749998219638178
4,MSCI,2016-12-31,0.15158554097237714
5,MSCI,2015-12-31,0.13196339119572073
0,RDN,2019-12-31,0.16743085975370697
1,RDN,2018-12-31,0.14868453221111375
2,RDN,2017-12-31,0.08610065972836117
3,RDN,2016-12-31,0.12270616920140757
4,RDN,2015-12-31,0.11781045289979375
5,RDN,2014-12-31,0.1204011162555228
0,KO,2020-12-31,0.1341082605406149
1,KO,2019-12-31,0.18155803932130352
2,KO,2018-12-31,0.15464967680995684
3,KO,2017-12-31,0.11106718065302626
4,KO,2016-12-31,0.13395238565642595
5,KO,2015-12-31,0.15206687459430362
0,AABA,2018-12-31,0.005302251812756387
1,AABA,2017-12-31,8.190659438969015e-05
2,AABA,2016-12-31,0.036165729489201506
3,AABA,2015-12-31,-0.2229789494680966
4,AABA,2014-12-31,0.5105194489676383
5,AABA,2013-12-31,0.07266289363087305
0,SRC,2020-12-31,0.004331261478902417
